127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000368
127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000326
127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/stripes.png, HTTP/1.1, 304, 0.000381
127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/questions.png, HTTP/1.1, 304, 0.000455
127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/twitter.png, HTTP/1.1, 304, 0.000366
127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/facebook.png, HTTP/1.1, 304, 0.000410
127.0.0.1, 2013-05-20 15:13:20, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 304, 0.000394
127.0.0.1, 2013-05-20 15:19:36, GET, /examples/default/index, HTTP/1.1, 200, 0.008340
127.0.0.1, 2013-05-20 15:20:23, GET, /examples/default/examples, HTTP/1.1, 200, 0.071354
127.0.0.1, 2013-05-20 15:23:16, GET, /examples/default/index, HTTP/1.1, 200, 0.008509
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/default/index, HTTP/1.1, 200, 0.008870
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000329
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000323
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000355
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000328
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000402
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000351
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000346
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000395
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000356
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000398
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.001113
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000345
